"sergile"->"başyapıt":1,"vasat":46 bin,result:-4.326929537043505
"bağırsak"->"başyapıt":1,"vasat":156,result:-1.8572963037163925
"eroinman"->"başyapıt":1,"vasat":75,result:-1.5392329687536308
"ezel"->"başyapıt":197,"vasat":555,result:-0.11399846232301418
"mantı"->"başyapıt":290,"vasat":bin,result:-0.20177370746297485
"sabıka"->"başyapıt":1,"vasat":14,result:-0.8102997410401689
"salata"->"başyapıt":4 bin,"vasat":6 bin,result:0.15973703558238786
"majör"->"başyapıt":14 bin,"vasat":5 bin,result:0.7829863259802884
"panzer"->"başyapıt":13,"vasat":519,result:-1.2653957109035519
"hane"->"başyapıt":78,"vasat":200,result:-0.07310709833543166
"kışkırtı"->"başyapıt":1,"vasat":1,result:0
"nasıp"->"başyapıt":197,"vasat":417,result:0.010158465825904558
"enerji"->"başyapıt":408,"vasat":3 bin,result:-0.5306327969917133
"hani"->"başyapıt":768,"vasat":6 bin,result:-0.5569617357140625
"nasıl"->"başyapıt":13 bin,"vasat":26 bin,result:0.03479829897408794
"zifirî"->"başyapıt":38,"vasat":585,result:-0.8515439748273012
"nasihat"->"başyapıt":230,"vasat":445,result:0.04919611967473043
"tunç"->"başyapıt":4 bin,"vasat":598,result:1.1611871019776208
"tavla"->"başyapıt":5,"vasat":9 bin,result:-2.919444210465237
"golf"->"başyapıt":bin,"vasat":bin,result:0.3358282946380691
"bildik"->"başyapıt":103,"vasat":820,result:-0.5651483330404753
"cep"->"başyapıt":3 bin,"vasat":2 bin,result:0.5119195536937504
"flaş"->"başyapıt":849,"vasat":744,result:0.3931630493361431
"puanla"->"başyapıt":41,"vasat":4 bin,result:-1.6534478399701578
"dolgu"->"başyapıt":25,"vasat":11 bin,result:-2.307624381848118
"üst"->"başyapıt":6 bin,"vasat":16 bin,result:-0.090140437634212
"saklı"->"başyapıt":569,"vasat":983,result:0.09838704320100465
"ertesi"->"başyapıt":279,"vasat":bin,result:-0.21856750208833325
"artistik"->"başyapıt":202,"vasat":669,result:-0.1842464536831302
"İsveçli"->"başyapıt":48 bin,"vasat":984,result:2.0240744335823146
"salt"->"başyapıt":365,"vasat":848,result:-0.030274693162170005
"kanepe"->"başyapıt":349,"vasat":194,result:0.590851991667023
"tematik"->"başyapıt":252,"vasat":175,result:0.4941907867333188
"fantazi"->"başyapıt":335,"vasat":473,result:0.1860119609371028
"hami"->"başyapıt":1,"vasat":5 bin,result:-3.3631417096979495
"biseksüel"->"başyapıt":1,"vasat":113,result:-1.7172501488453507
"avare"->"başyapıt":25,"vasat":39,result:0.1427036962836076
"halt"->"başyapıt":65,"vasat":2 bin,result:-1.1522883443830565
"nişan"->"başyapıt":205,"vasat":407,result:0.037987746468603416
"kritik"->"başyapıt":85,"vasat":2 bin,result:-1.0357827753116193
"ezgi"->"başyapıt":197,"vasat":280,result:0.18313648945744285
"hüviyet"->"başyapıt":1,"vasat":27,result:-1.095535469520918
"gürültü"->"başyapıt":173,"vasat":2 bin,result:-0.7271555978971167
"akbaba"->"başyapıt":50,"vasat":521,result:-0.6820394243254365
"reçete"->"başyapıt":149,"vasat":22,result:1.166591882228137
"nabız"->"başyapıt":42,"vasat":bin,result:-1.0409224149640304
"sarmala"->"başyapıt":1,"vasat":122,result:-1.750531536036679
"dolap"->"başyapıt":367,"vasat":472,result:0.22655236025607073
"sapa"->"başyapıt":1,"vasat":176,result:-1.9096843731760806
"atlet"->"başyapıt":67,"vasat":830,result:-0.7571749950371783
"dolar"->"başyapıt":859,"vasat":5 bin,result:-0.4291485458667073
"geçersiz"->"başyapıt":15,"vasat":3 bin,result:-1.965201701025912
"hisse"->"başyapıt":bin,"vasat":bin,result:0.3358282946380691
"dolay"->"başyapıt":2,"vasat":138,result:-1.5030207960991862
"sakla"->"başyapıt":1,"vasat":2 bin,result:-2.965201701025912
"taş"->"başyapıt":5 bin,"vasat":5 bin,result:0.3358282946380691
"tik"->"başyapıt":64,"vasat":272,result:-0.29256063541224236
"tip"->"başyapıt":2 bin,"vasat":17 bin,result:-0.5935906310762236
"tim"->"başyapıt":511,"vasat":2 bin,result:-0.25678080089119937
"replik"->"başyapıt":337,"vasat":3 bin,result:-0.6136630592102548
"yetki"->"başyapıt":230,"vasat":347,result:0.15722665586478826
"ileri"->"başyapıt":2 bin,"vasat":7 bin,result:-0.20823974971220655
"dolan"->"başyapıt":50,"vasat":4 bin,result:-1.5672616923538745
"entelektüel"->"başyapıt":401,"vasat":2 bin,result:-0.36205732840572974
"homofobi"->"başyapıt":1,"vasat":18,result:-0.9194442104652369
"tiz"->"başyapıt":15,"vasat":526,result:-1.2090661904599886
"otoban"->"başyapıt":75,"vasat":2 bin,result:-1.090140437634212
"paşa"->"başyapıt":2 bin,"vasat":20 bin,result:-0.6641717053619308
"zenci"->"başyapıt":187,"vasat":691,result:-0.23180814619963025
"palmiye"->"başyapıt":2 bin,"vasat":263,result:1.2169025418122925
"teselli"->"başyapıt":969,"vasat":294,result:0.8538047412766772
"dışla"->"başyapıt":1,"vasat":364,result:-2.2252730890109866
"kuaför"->"başyapıt":188,"vasat":bin,result:-0.390013856098251
"ezik"->"başyapıt":bin,"vasat":3 bin,result:-0.14129296008159334
"dikizle"->"başyapıt":1,"vasat":1,result:0
"harp"->"başyapıt":14,"vasat":342,result:-1.0520697757398279
"umumiyet"->"başyapıt":1,"vasat":28,result:-1.1113297367041501
"ürü"->"başyapıt":1,"vasat":240,result:-2.044382947073537
"cim"->"başyapıt":32,"vasat":2 bin,result:-1.4600517227060061
"sara"->"başyapıt":81,"vasat":256,result:-0.1639266517951307
"cin"->"başyapıt":bin,"vasat":2 bin,result:0.03479829897408794
"yetir"->"başyapıt":1,"vasat":1,result:0
"cip"->"başyapıt":27,"vasat":bin,result:-1.2328079412029436
"neden"->"başyapıt":6 bin,"vasat":28 bin,result:-0.33317848632050645
"halı"->"başyapıt":751,"vasat":bin,result:0.21146823164223752
"motive"->"başyapıt":50,"vasat":562,result:-0.7149380165949731
"yetim"->"başyapıt":68,"vasat":801,result:-0.7352953087399322
"yetin"->"başyapıt":1,"vasat":11,result:-0.705564390520156
"harf"->"başyapıt":286,"vasat":244,result:0.40480450142838276
"hara"->"başyapıt":804 bin,"vasat":650,result:3.4281709867436647
"varlık"->"başyapıt":272,"vasat":3 bin,result:-0.7067240560473945
"garaj"->"başyapıt":161,"vasat":795,result:-0.3577129579865514
"bağlaş"->"başyapıt":1,"vasat":1,result:0
"izleniş"->"başyapıt":1,"vasat":1,result:0
"inşaat"->"başyapıt":6 bin,"vasat":2 bin,result:0.8129495493577316
"çürük"->"başyapıt":71,"vasat":381,result:-0.39383833231847487
"girift"->"başyapıt":29,"vasat":3 bin,result:-1.6788949621826372
"ladin"->"başyapıt":181,"vasat":8 bin,result:-1.30958311748469
"andır"->"başyapıt":18,"vasat":bin,result:-1.4088992002586247
"yarış"->"başyapıt":2 bin,"vasat":3 bin,result:0.15973703558238786
"hadise"->"başyapıt":164,"vasat":506,result:-0.15347837415403204
"Osmanlı"->"başyapıt":3 bin,"vasat":2 bin,result:0.5119195536937504
"trajikomedi"->"başyapıt":1,"vasat":1,result:0
"dayanak"->"başyapıt":1,"vasat":857,result:-2.5971525272851292
"muhtaç"->"başyapıt":462,"vasat":634,result:0.198381012312462
"tutu"->"başyapıt":22,"vasat":341,result:-0.8545034035322223
"kekele"->"başyapıt":1,"vasat":1,result:0
"rezillik"->"başyapıt":136,"vasat":450,result:-0.18384531076705704
"ütü"->"başyapıt":10,"vasat":169,result:-0.8920584099756045
"atlas"->"başyapıt":386,"vasat":990,result:-0.07321959528772583
"üye"->"başyapıt":bin,"vasat":2 bin,result:0.03479829897408794
"sımsıcak"->"başyapıt":122,"vasat":34,result:0.8907092082705622
"hata"->"başyapıt":2 bin,"vasat":5 bin,result:-0.062111714033968465
"işleniş"->"başyapıt":340,"vasat":616,result:0.07772649951589884
"flor"->"başyapıt":1,"vasat":4 bin,result:-3.266231696689893
"salı"->"başyapıt":bin,"vasat":2 bin,result:0.03479829897408794
"oryantalist"->"başyapıt":4 bin,"vasat":330,result:1.419374346088144
"hemşire"->"başyapıt":188 bin,"vasat":6 bin,result:1.8318348935181052
"kelepçe"->"başyapıt":7,"vasat":387,result:-1.4067846303665854
"pike"->"başyapıt":4,"vasat":434,result:-1.6996014435464792
"tavsa"->"başyapıt":1,"vasat":4,result:-0.26623169668989327
"becerikli"->"başyapıt":43,"vasat":2 bin,result:-1.3317332454463255
"teessüf"->"başyapıt":1,"vasat":8,result:-0.5672616923538745
"ısmarlama"->"başyapıt":3 bin,"vasat":3 bin,result:0.3358282946380691
"sari"->"başyapıt":3 bin,"vasat":14 bin,result:-0.33317848632050645
"sarf"->"başyapıt":132,"vasat":888,result:-0.49201073993468203
"beddua"->"başyapıt":11 bin,"vasat":76 bin,result:-0.5035926124844972
"sark"->"başyapıt":1,"vasat":167,result:-1.8868881765095142
"saksı"->"başyapıt":4,"vasat":387,result:-1.6498226790528798
"sarp"->"başyapıt":16,"vasat":bin,result:-1.4600517227060061
"fenomen"->"başyapıt":232,"vasat":551,result:-0.03983531932281629
"sars"->"başyapıt":1,"vasat":6 bin,result:-3.4423229557455746
"pespaye"->"başyapıt":1,"vasat":509,result:-2.3708894876986895
"Yunan"->"başyapıt":4 bin,"vasat":bin,result:0.9378882859660316
"küçücük"->"başyapıt":155,"vasat":609,result:-0.2584572998245147
"dışkı"->"başyapıt":4,"vasat":223,result:-1.410416577082129
"sava"->"başyapıt":82,"vasat":534,result:-0.4778991100067706
"tok"->"başyapıt":353,"vasat":388,result:0.29477127443168444
"ton"->"başyapıt":420,"vasat":2 bin,result:-0.3419524106280116
"top"->"başyapıt":3 bin,"vasat":16 bin,result:-0.39117043329819323
"izole"->"başyapıt":bin,"vasat":842,result:0.4105162031384196
"hava"->"başyapıt":bin,"vasat":9 bin,result:-0.6184142148012558
"yahudi"->"başyapıt":938,"vasat":408,result:0.6973709699272536
"hasılı"->"başyapıt":199,"vasat":191,result:0.3536480038000483
"çöl"->"başyapıt":299,"vasat":224,result:0.461251464628336
"çöm"->"başyapıt":19 bin,"vasat":31 bin,result:0.1232202017566254
"damıt"->"başyapıt":1,"vasat":1,result:0
"harç"->"başyapıt":68,"vasat":bin,result:-0.8316627926556944
"toz"->"başyapıt":385,"vasat":4 bin,result:-0.6807709671813925
"kaplan"->"başyapıt":bin,"vasat":2 bin,result:0.03479829897408794
"çök"->"başyapıt":51,"vasat":274,result:-0.3943520920843825
"bişi"->"başyapıt":2 bin,"vasat":2 bin,result:0.3358282946380691
"toy"->"başyapıt":205,"vasat":464,result:-0.018935824861057472
"rota"->"başyapıt":bin,"vasat":169,result:1.1079415900243956
"çöp"->"başyapıt":8 bin,"vasat":4 bin,result:0.6368582903020503
"sanı"->"başyapıt":27,"vasat":2 bin,result:-1.5338379368669248
"çöz"->"başyapıt":102,"vasat":695,result:-0.4975563381901272
"tavuk"->"başyapıt":2 bin,"vasat":5 bin,result:-0.062111714033968465
"tıka"->"başyapıt":71,"vasat":209,result:-0.13305964275390958
"esrar"->"başyapıt":65,"vasat":423,result:-0.47759871609411764
"anca"->"başyapıt":406,"vasat":5 bin,result:-0.7546156761207556
"izdüşüm"->"başyapıt":58,"vasat":5,result:1.4002862838649877
"ofis"->"başyapıt":17 bin,"vasat":428,result:1.9348334470031712
"fahişe"->"başyapıt":85,"vasat":472,result:-0.40869477828172596
"iksir"->"başyapıt":27,"vasat":2 bin,result:-1.5338379368669248
"nükte"->"başyapıt":8,"vasat":25 bin,result:-3.159021727042025
"İslam"->"başyapıt":2 bin,"vasat":12 bin,result:-0.44232295574557456
"öğretmen"->"başyapıt":310,"vasat":19 bin,result:-1.4515636124804872
"varsay"->"başyapıt":1,"vasat":1,result:0
"tebeşir"->"başyapıt":91,"vasat":92,result:0.3310818596136074
"erezyon"->"başyapıt":1,"vasat":1,result:0
"müfettiş"->"başyapıt":54,"vasat":bin,result:-0.9317779455389623
"egzersiz"->"başyapıt":77,"vasat":159,result:0.020921895490099516
"tümevarım"->"başyapıt":1,"vasat":149,result:-1.837357973774205
"başvur"->"başyapıt":52,"vasat":108,result:0.018407882785918612
"yeğen"->"başyapıt":39,"vasat":123,result:-0.1630122097748296
"nazar"->"başyapıt":537,"vasat":2 bin,result:-0.2352274153263564
"ezelî"->"başyapıt":2 bin,"vasat":bin,result:0.6368582903020503
"yürü"->"başyapıt":31,"vasat":612,result:-0.9595614336732193
"tasarım"->"başyapıt":5 bin,"vasat":7 bin,result:0.1897002589598311
"pardon"->"başyapıt":2 bin,"vasat":733,result:0.7717543156609223
"alaycı"->"başyapıt":411,"vasat":317,result:0.4486108542963868
"giysi"->"başyapıt":112,"vasat":215,result:0.052607857392645445
"ekonomik"->"başyapıt":246,"vasat":bin,result:-0.2732365982585518
"konvansiyonel"->"başyapıt":2,"vasat":174,result:-1.6036909579805494
"gezegen"->"başyapıt":13 bin,"vasat":241,result:2.0677546043700374
"resepsiyon"->"başyapıt":37 bin,"vasat":875,result:1.962021965682751
"ofla"->"başyapıt":1,"vasat":1,result:0
"kadın"->"başyapıt":7 bin,"vasat":11 bin,result:0.13953364949410094
"argüman"->"başyapıt":86,"vasat":196,result:-0.021929325474839185
"bağlam"->"başyapıt":59,"vasat":346,result:-0.43239579251256327
"mağlup"->"başyapıt":43,"vasat":7 bin,result:-1.8758012897966012
"tıpa"->"başyapıt":3,"vasat":bin,result:-2.1870504506422686
"cüzi"->"başyapıt":2,"vasat":bin,result:-2.36314170969795
"Sırp"->"başyapıt":41,"vasat":bin,result:-1.0513878486421955
"sivrisinek"->"başyapıt":2,"vasat":5 bin,result:-3.0621117140339686
"sası"->"başyapıt":1,"vasat":524,result:-2.3835029923456577
"rekabet"->"başyapıt":9 bin,"vasat":bin,result:1.290070804077394
"kameraman"->"başyapıt":194,"vasat":291,result:0.15973703558238786
"kotar"->"başyapıt":2,"vasat":1,result:0.6368582903020503
"vasıta"->"başyapıt":2 milyon,"vasat":3 bin,result:3.159737035582388
"güneydoğu"->"başyapıt":297,"vasat":323,result:0.2993822216241786
"devriye"->"başyapıt":3 bin,"vasat":152,result:1.631105961412959
"çatal"->"başyapıt":157,"vasat":617,result:-0.2585572169859388
"domates"->"başyapıt":2 bin,"vasat":4 bin,result:0.03479829897408794
"uyar"->"başyapıt":404,"vasat":14 bin,result:-1.203918375929564
"kristal"->"başyapıt":512,"vasat":562,result:0.2953619400448388
"uyan"->"başyapıt":215,"vasat":617,result:-0.12201840947956717
"haya"->"başyapıt":10,"vasat":bin,result:-1.664171705361931
"kriter"->"başyapıt":46,"vasat":551,result:-0.7425654725321418
"saye"->"başyapıt":2,"vasat":22,result:-0.705564390520156
"kutsa"->"başyapıt":8,"vasat":2,result:0.9378882859660316
"profesör"->"başyapıt":614,"vasat":318,result:0.6215695457948042
"sarı"->"başyapıt":3 bin,"vasat":14 bin,result:-0.33317848632050645
"olası"->"başyapıt":777,"vasat":2 bin,result:-0.07478068222499776
"dikey"->"başyapıt":2 bin,"vasat":281,result:1.1881519703969705
"uydu"->"başyapıt":10 bin,"vasat":bin,result:1.335828294638069
"tırs"->"başyapıt":1,"vasat":1,result:0
"orijinal"->"başyapıt":3 bin,"vasat":2 bin,result:0.5119195536937504
"tut"->"başyapıt":5 bin,"vasat":758,result:1.1551290933420344
"palto"->"başyapıt":26 bin,"vasat":28,result:3.303643611266668
"tur"->"başyapıt":549,"vasat":6 bin,result:-0.7027506112954826
"fiziksel"->"başyapıt":305,"vasat":2 bin,result:-0.48090186167912624
"geceleri"->"başyapıt":160,"vasat":2 bin,result:-0.7610817183699873
"rütbe"->"başyapıt":11,"vasat":2 bin,result:-1.923809015867687
"çürü"->"başyapıt":1,"vasat":1,result:0
"gönül"->"başyapıt":691,"vasat":3 bin,result:-0.30181491270739486
"karala"->"başyapıt":1,"vasat":351,result:-2.209478821827755
"mecazi"->"başyapıt":11,"vasat":bin,result:-1.6227790202037058
"piti"->"başyapıt":3,"vasat":736,result:-2.0539282649797674
"tuz"->"başyapıt":134,"vasat":638,result:-0.34188758571828554
"element"->"başyapıt":21,"vasat":688,result:-1.1795408488635228
"transseksüel"->"başyapıt":1,"vasat":29,result:-1.126569703260887
"dokuzuncu"->"başyapıt":4 bin,"vasat":87 bin,result:-1.0016309666525869
"furya"->"başyapıt":1,"vasat":12,result:-0.7433529514095557
"diken"->"başyapıt":6 bin,"vasat":288,result:1.654587057262482
"kobay"->"başyapıt":9,"vasat":2 bin,result:-2.010959191586587
"cevap"->"başyapıt":bin,"vasat":7 bin,result:-0.5092697453761877
"dizayn"->"başyapıt":10 bin,"vasat":bin,result:1.335828294638069
"genel"->"başyapıt":5 bin,"vasat":28 bin,result:-0.4123597323681313
"dışavurum"->"başyapıt":1,"vasat":1,result:0
"cuk"->"başyapıt":413,"vasat":2 bin,result:-0.34925164936951103
"cup"->"başyapıt":28,"vasat":824,result:-1.1329408857168275
"pisi"->"başyapıt":6,"vasat":5 bin,result:-2.584990459314306
"çapulcu"->"başyapıt":517,"vasat":285,result:0.5944739777235015
"dağar"->"başyapıt":1,"vasat":1,result:0
"uzunca"->"başyapıt":105,"vasat":410,result:-0.2557662630117283
"yetenek"->"başyapıt":509,"vasat":3 bin,result:-0.43457517774483456
"kadife"->"başyapıt":189,"vasat":43,result:0.9788216432317267
"sakal"->"başyapıt":350,"vasat":277,result:0.4374165699238962
"sakar"->"başyapıt":2,"vasat":2 bin,result:-2.6641717053619307
"hatırla"->"başyapıt":134,"vasat":2 bin,result:-0.8380969026611044
"gücenik"->"başyapıt":1,"vasat":1,result:0
"moment"->"başyapıt":126,"vasat":193,result:0.15064153074785824
"pufla"->"başyapıt":1,"vasat":8,result:-0.5672616923538745
"sakat"->"başyapıt":32,"vasat":4 bin,result:-1.7610817183699874
"anla"->"başyapıt":30,"vasat":422,result:-0.8123629016039423
"kâse"->"başyapıt":68,"vasat":194,result:-0.1194645225859206
"tıraş"->"başyapıt":75,"vasat":19 bin,result:-2.06786404292306
"zırhlı"->"başyapıt":273,"vasat":117,result:0.7038050799326636
"zarif"->"başyapıt":3 bin,"vasat":376,result:1.2377617044300706
"kutsal"->"başyapıt":bin,"vasat":919,result:0.3725127832519579
"coş"->"başyapıt":1,"vasat":53,result:-1.3884475749627199
"akset"->"başyapıt":1,"vasat":4,result:-0.26623169668989327
"Rus"->"başyapıt":2 bin,"vasat":2 bin,result:0.3358282946380691
"sinyor"->"başyapıt":729,"vasat":198,result:0.9018906326945126
"galibiyet"->"başyapıt":12,"vasat":7 bin,result:-2.430088499328563
"tekrar"->"başyapıt":6 bin,"vasat":10 bin,result:0.11397954502171273
"ufacık"->"başyapıt":204,"vasat":8 bin,result:-1.2576315249279757
"sadelik"->"başyapıt":181,"vasat":217,result:0.25704713565872417
"cacık"->"başyapıt":162,"vasat":802,result:-0.35883105910346347
"kutup"->"başyapıt":290,"vasat":284,result:0.34490795248998757
"biricik"->"başyapıt":696,"vasat":2 bin,result:-0.12259246141534998
"gizli"->"başyapıt":13 bin,"vasat":2 bin,result:1.1487416512809248
"anket"->"başyapıt":37 bin,"vasat":823,result:1.9886301834927942
"sefer"->"başyapıt":415,"vasat":4 bin,result:-0.6481835999778006
"yalnızca"->"başyapıt":3 bin,"vasat":2 bin,result:0.5119195536937504
"anne"->"başyapıt":6 bin,"vasat":2 bin,result:0.8129495493577316
"çekimser"->"başyapıt":2,"vasat":171,result:-1.5961378200901035
"sayı"->"başyapıt":649,"vasat":7 bin,result:-0.6970250485758185
"gizle"->"başyapıt":120,"vasat":933,result:-0.554872103060806
"hazine"->"başyapıt":2 bin,"vasat":434,result:0.9993685607895396
"merdiven"->"başyapıt":378,"vasat":bin,result:-0.0866799055247055
"masalımsı"->"başyapıt":477,"vasat":54,result:1.2819529138552146
"zorunlu"->"başyapıt":431,"vasat":bin,result:-0.029694435201199253
"tilki"->"başyapıt":166,"vasat":628,result:-0.24202326105907185
"telaffuz"->"başyapıt":119,"vasat":157,result:0.2154756036213662
"gurbet"->"başyapıt":54,"vasat":7 bin,result:-1.7768759855532192
"istifade"->"başyapıt":18,"vasat":822,result:-1.3237710177986752
"göbek"->"başyapıt":71,"vasat":449,result:-0.46515969764617876
"çatla"->"başyapıt":1,"vasat":9,result:-0.6184142148012558
"güzelleme"->"başyapıt":85,"vasat":45,result:0.6120347065770182
"tını"->"başyapıt":7,"vasat":231,result:-1.1826856452398185
"fetih"->"başyapıt":330,"vasat":213,result:0.5259626310772189
"vâsi"->"başyapıt":179,"vasat":251,result:0.18900760413692422
"çuvalla"->"başyapıt":1,"vasat":808,result:-2.571583066136517
"hesaplaş"->"başyapıt":1,"vasat":1,result:0
"acımasızca"->"başyapıt":221,"vasat":2 bin,result:-0.6208094273408014
"yabani"->"başyapıt":40,"vasat":4 bin,result:-1.664171705361931
"buzul"->"başyapıt":6 bin,"vasat":28,result:2.6668215136794937
"mantık"->"başyapıt":418,"vasat":2 bin,result:-0.3440254192508769
"darmaduman"->"başyapıt":335,"vasat":200,result:0.5598431060109332
"maalesef"->"başyapıt":668,"vasat":16 bin,result:-1.04351522554231
"bölük"->"başyapıt":22,"vasat":331,result:-0.8415770183154434
"tinsel"->"başyapıt":52,"vasat":3,result:1.5747103835532057
"antrenman"->"başyapıt":9,"vasat":2 bin,result:-2.010959191586587
"stüdyo"->"başyapıt":486,"vasat":3 bin,result:-0.4546566908192999
"halka"->"başyapıt":2 bin,"vasat":bin,result:0.6368582903020503
"astım"->"başyapıt":1,"vasat":235,result:-2.035239567633667
"süvari"->"başyapıt":106,"vasat":311,result:-0.13162622912399816
"alışık"->"başyapıt":276,"vasat":840,result:-0.14754190935859482
"köken"->"başyapıt":23,"vasat":400,result:-0.9045038606723004
"mikrop"->"başyapıt":3 milyon,"vasat":172,result:4.577421102450183
"hitap"->"başyapıt":3 bin,"vasat":5 bin,result:0.11397954502171273
"makarna"->"başyapıt":40,"vasat":bin,result:-1.0621117140339684
"bölüm"->"başyapıt":7 bin,"vasat":13 bin,result:0.06698298234548915
"özelik"->"başyapıt":1,"vasat":194,result:-1.951973435292157
"solukla"->"başyapıt":1,"vasat":2,result:0.03479829897408794
"sefil"->"başyapıt":76,"vasat":365,result:-0.3456509775376142
"niçin"->"başyapıt":313,"vasat":671,result:0.0046501120155255475
"kırgın"->"başyapıt":1,"vasat":96,result:-1.6464429384014994
"multimilyoner"->"başyapıt":1,"vasat":1,result:0
"yarala"->"başyapıt":1,"vasat":1,result:0
"inşa"->"başyapıt":2 bin,"vasat":4 bin,result:0.03479829897408794
"hedefle"->"başyapıt":1,"vasat":30,result:-1.1412929600815933
"matruşka"->"başyapıt":27,"vasat":6,result:0.9890408084134128
"aksak"->"başyapıt":199,"vasat":2 bin,result:-0.6663486246162054
"aksam"->"başyapıt":229,"vasat":2 bin,result:-0.605366218686024
"yüzleş"->"başyapıt":1,"vasat":31,result:-1.1555333991962036
"tuş"->"başyapıt":54,"vasat":bin,result:-0.9317779455389623
"ertele"->"başyapıt":1,"vasat":1,result:0
"aksan"->"başyapıt":28,"vasat":bin,result:-1.2170136740197117
"çevrili"->"başyapıt":83,"vasat":378,result:-0.32258541282308234
"hizmetçi"->"başyapıt":303,"vasat":173,result:0.5792248200115787
"çomak"->"başyapıt":18,"vasat":745,result:-1.2810554730069177
"çevrile"->"başyapıt":1,"vasat":1,result:0
"otizm"->"başyapıt":900,"vasat":35 milyon,result:-4.253997240272882
"tavan"->"başyapıt":bin,"vasat":2 bin,result:0.03479829897408794
"çıkarım"->"başyapıt":2,"vasat":2 bin,result:-2.6641717053619307
"bağışla"->"başyapıt":1,"vasat":407,result:-2.273766114587151
"entel"->"başyapıt":33,"vasat":2 bin,result:-1.4466877611480247
"tılsım"->"başyapıt":28,"vasat":64,result:-0.023193648003598813
"karate"->"başyapıt":39,"vasat":206,result:-0.3869743187045851
"halim"->"başyapıt":540,"vasat":2 bin,result:-0.2328079412029435
"mezarlık"->"başyapıt":131 bin,"vasat":326,result:2.9398819902258944
"angarya"->"başyapıt":9,"vasat":58,result:-0.47335718948554323
"dolma"->"başyapıt":284,"vasat":bin,result:-0.21085336531489324
"omega"->"başyapıt":702,"vasat":175,result:0.93912735808158
"denetim"->"başyapıt":2 bin,"vasat":217,result:1.3003985564535208
"rahmet"->"başyapıt":856,"vasat":2 bin,result:-0.03272793634875884
"sürpriz"->"başyapıt":2 bin,"vasat":4 bin,result:0.03479829897408794
"ayakalt"->"başyapıt":1,"vasat":1,result:0
"soğan"->"başyapıt":109,"vasat":29 bin,result:-2.0891432053202634
"uyku"->"başyapıt":bin,"vasat":bin,result:0.3358282946380691
"naklet"->"başyapıt":1,"vasat":1,result:0
"armonika"->"başyapıt":1,"vasat":1,result:0
"firavun"->"başyapıt":155,"vasat":122,result:0.43980016213361234
"sakin"->"başyapıt":820,"vasat":8 bin,result:-0.6534478399701578
"sektör"->"başyapıt":17 bin,"vasat":bin,result:1.566277216016343
"yeter"->"başyapıt":441,"vasat":5 bin,result:-0.7187031202301112
"anti"->"başyapıt":817,"vasat":845,result:0.3211936422207923
"unvan"->"başyapıt":9,"vasat":155,result:-0.9002608940928974
"ceylan"->"başyapıt":864,"vasat":587,result:0.5037039358693479
"medeniyet"->"başyapıt":546,"vasat":615,result:0.2841458215673896
"püf"->"başyapıt":131,"vasat":876,result:-0.4894045158742473
"gizem"->"başyapıt":2 bin,"vasat":772,result:0.7492409899663142
"elverişli"->"başyapıt":1,"vasat":760,result:-2.544985297642722
"ızdırap"->"başyapıt":69,"vasat":220,result:-0.16774529544688174
"istila"->"başyapıt":11,"vasat":2 bin,result:-1.923809015867687
"halet"->"başyapıt":29,"vasat":8 bin,result:-2.1048636944549184
